,poets,titles,fulltexts
48,Richard Lovelace,Song,"Why should you swear I am forsworn,
Since thine I vowed to be?
Lady, it is already morn,
And 'twas last night I swore to thee
That fond impossibility.

Have I not loved thee much and long,
A tedious twelve hours' space?
I must all other beauties wrong,
And rob thee of a new embrace,
Could I still dote upon thy face.

Not but all joy in thy brown hair
By others may be found;
But I must search the black and fair,
Like skilful mineralists that sound
For treasure in unploughed-up ground.

Then, if when I have loved my round,
Thou prov'st the pleasant she;
With spoils of meaner beauties crowned
I laden will return to thee,
Even sated with variety.
"
49,Wallace Irwin,"Grain Of Salt, A","Of all the wimming doubly blest
The sailor's wife's the happiest,
For all she does is stay to home
And knit and darn, and let 'im roam.

Of all the husbands on the earth
The sailor has the finest berth,
For in 'is cabin he can sit
And sail and sail, and let 'er knit."
50,Bert Leston Taylor,Farewell,"
Provoked By Calverley's ""Forever""


""Farewell!"" Another gloomy word
As ever into language crept.
'Tis often written, never heard,
Except

In playhouse. Ere the hero flits,
In handcuffs, from our pitying view.
""Farewell!"" he murmurs, then exits
R. U.

""Farewell"" is much too sighful for
An age that has not time to sigh.
We say, ""I'll see you later,"" or
""Good by!""

When, warned by chanticleer, you go
From her to whom you owe devoir,
""Say not 'good by,'"" she laughs, ""but
'Au Revoir!'""

Thus from the garden are you sped;
And Juliet were the first to tell
You, you were silly if you said
""Farewell!""

""Farewell,"" meant long ago, before
It crept, tear-spattered, into song,
""Safe voyage!"" ""Pleasant journey!"" or
""So long!""

But gone its cheery, old-time ring;
The poets made it rhyme with knell,
Joined it became a dismal thing,
""Farewell!""

""Farewell!"" into the lover's soul
You see Fate plunge the fatal iron.
All poets use it. It's the whole
Of Byron.

""I only feel, farewell!"" said he;
And always fearful was the telling,
Lord Byron was eternally
Farewelling.

""Farewell!"" A dismal word, 'tis true
(And why not tell the truth about it!);
But what on earth would poets do
Without it?"
51,Bert Leston Taylor,Bygones,"
Or ever a lick of Art was done,
Or ever a one to care,
I was a Purple Polygon,
And you were a Sky-Blue Square.

You yearned for me across a void,
For I lay in a different plane,
I'd set my heart on a Red Rhomboid,
And your sighing was in vain.

You pined for me as well I knew,
And you faded day by day,
Until the Square that was heavenly Blue,
Had paled to an ashen grey.

A myriad years or less or more,
Have softly fluttered by,
Matters are much as they were before,
Except 'tis I that sigh.

I yearn for you, but I have no chance,
You lie in a different plane,
I break my heart for a single glance,
And I break said heart in vain.

And ever I grow more pale and wan,
And taste your old despair,
When I was a Purple Polygon,
And you were a Sky-Blue Square."
52,Bert Leston Taylor,Post-Impressionism,"
I cannot tell you how I love
The canvases of Mr. Dove,
Which Saturday I went to see
In Mr. Thurber's gallery.

At first you fancy they are built
As patterns for a crazy quilt,
But soon you see that they express
An ambient simultaneousness.

This thing which you would almost bet
Portrays a Spanish omelette,
Depicts instead, with wondrous skill,
A horse and cart upon a hill.

Now, Mr. Dove has too much art
To show the horse or show the cart;
Instead, he paints the creak and strain,
Get it? No pike is half as plain.

This thing which would appear to show
A fancy vest scenario,
Is really quite another thing,
A flock of pigeons on the wing.

But Mr. Dove is much too keen
To let a single bird be seen;
To show the pigeons would not do
And so he simply paints the coo.

It's all as simple as can be;
He paints the things you cannot see,
Just as composers please the ear
With ""programme"" things you cannot hear.

Dove is the cleverest of chaps;
And, gazing at his rhythmic maps,
I wondered (and I'm wondering yet)
Whether he did them on a bet."
53,Robert William Chambers,"Officer Brady, The Modern Recruit","
 I

Sez Alderman Grady
To Officer Brady:
""G'wan! Ye're no lady!
Luk here what ye've done:
Ye've run in Red Hogan,
Ye've pulled Paddy Grogan,
Ye've fanned Misther Brogan
An' called him a 'gun'!

""Way up in Tammany Hall
They's a gintleman layin' f'r you!
'An' what,' sez he, 't' 'ell,' sez he,
'Does the villyun mane to do?
Lock up the ass in his shtall!
He'll rue the day I rue,
F'r he's pulled the dive that kapes me alive,
An' he'll go to the goats! Whurroo!'""

 II

Sez Alderman Grady
To Officer Brady:
""Ye pinched young Mullady
F'r crackin' a safe!
An' Sinitor Moran
An' Alderman Doran
Is inside, a-roarin'
F'r justice, ye thafe!

""'Way up in Tammany Hall
They's a gintleman layin' f'r you!
'What's this,' sez he, 'I hear?' sez he,
An' the air, bedad, grew blue!
'Well, I nivver did hear av such gall!
But if phwat ye say is thrue,
He's pulled a fri'nd av a fri'nd av me fri'nd,
An' he'll go to the goats! Whurroo!""

III

Sez Alderman Grady
To Officer Brady:
""Here's Sullivan's lady
Cavoortin' an' riled;
She lifted a locket
From Casey's coat pocket,
An' it goes to the docket,
An' Sullivan's wild!

""'Way up in Tammany Hall
They's a gintleman layin' f'r you!
''Tis a shame,' sez he, 'f'r to blame,' sez he,
'A lady so fair an' thrue,
An' so divinely tall'--
'Tis po'ms he talked, ye Jew!
An' ye've cooked yer goose, an' now ye're loose
F'r to folly the goats! Whurroo!""

 IV

Sez Alderman Grady
To Officer Brady:
""Where's Katie Macready,
The Confidence Queen?
She's niece to O'Lafferty's
Cousins, the Caffertys,
Sinitor Rafferty's
Steady colleen!

""'Way up in Tammany Hall
They's a gintleman layin' f'r you!
'He's pinched,' sez he, 'an' cinched,' sez he,
'A lady tray comme eel foo!
Go dangle th' tillyphone call,
An' gimme La Mulberry Roo,
F'r the town is too warrm f'r this gendarme,
An' he'll go to the goats, mon Dieu!'""

 V

Sez Alderman Grady
To Officer Brady:
 ""McCabe is afraid he
Can't open to-night,
 F'r throuble's a-brewin',
An' mischief's a-stewin',
Wid nothin' a-doin'
An' everything tight!
There's Register Ronnell,
Commissioner Donnell,
An' Congressman Connell
Preparin' f'r flight;
The Dhistrict Attorney
Told Magistrate Kearny
That Captain McBurney
Was dyin' o' fright!

""Oh!
'Way up in Tammany Hall
They's a gintleman lookin' f'r you!
'Bedad,' sez he, 'he's mad,' sez he.
'So turrn on the screw f'r Bellevue,
An' chain 'im ag'in' the wall,
An' lather 'im wan or two,
An' tether 'im out on the Bloomin'dale route
Like a loonytick goat! Whurroo!'"""
54,Robert William Chambers,The Recruit,"
Sez Corporal Madden to Private McFadden:
""Bedad, yer a bad un!
Now turn out yer toes!
Yer belt is unhookit,
Yer cap is on crookit,
Ye may not be dhrunk,
But, be jabers, ye look it!
Wan, two!
Wan, two!
Ye monkey-faced divil, I'll jolly ye through!
Wan, two!
Time! Mark!
Ye march like the aigle in Cintheral Parrk!""

Sez Corporal Madden to Private McFadden:
""A saint it ud sadden
To dhrill such a mug!
Eyes front! ye baboon, ye!
Chin up! ye gossoon, ye!
Ye've jaws like a goat,
Halt! ye leather-lipped loon, ye!
Wan, two!
Wan, two!
Ye whiskered orang-outang, I'll fix you!
Wan, two!
Time! Mark!
Ye've eyes like a bat! can ye see in the dark?""

Sez Corporal Madden to Private McFadden:
""Yer figger wants padd'n',
Sure, man, ye've no shape!
Behind ye yer shoulders
Stick out like two boulders;
Yer shins is as thin
As a pair of pen-holders!
Wan, two!
Wan, two!
Yer belly belongs on yer back, ye Jew!
Wan, two!
Time! Mark!
I'm dhry as a dog, I can't shpake but I bark!""

Sez Corporal Madden to Private McFadden:
""Me heart it ud gladden
To blacken your eye.
Ye're gettin' too bold, ye
Compel me to scold ye,
Tis halt! that I say,
Will ye heed what I told ye?
Wan, two!
Wan, two!
Be jabers, I'm dhryer than Brian Boru!
Wan, two!
Time! Mark!
What's wur-ruk for chickens is sport for the lark!""

Sez Corporal Madden to Private McFadden:
""I'll not stay a gaddin',
Wid dagoes like you!
I'll travel no farther,
I'm dyin' for, wather;
Come on, if ye like,
Can ye loan me a quather?
Ya-as, you,
What, two?
And ye'll pay the potheen? Ye're a daisy! Whurroo!
You'll do!
Whist! Mark!
The Rigiment's flattered to own ye, me spark!"""
55,Edwin Arlington Robinson,Miniver Cheevy,"Miniver Cheevy, child of scorn,
Grew lean while he assailed the seasons;
He wept that he was ever born,
And he had reasons.

Miniver loved the days of old
When swords were bright and steeds were prancing;
The vision of a warrior bold
Would set him dancing.

Miniver sighed for what was not,
And dreamed and rested from his labors;
He dreamed of Thebes and Camelot
And Priam's neighbors.

Miniver mourned the ripe renown
That made so many a name so fragrant;
He mourned Romance, now on the town,
And Art, a vagrant.

Miniver loved the Medici,
Albeit he had never seen one;
He would have sinned incessantly
Could he have been one.

Miniver cursed the commonplace,
And eyed a khaki suit with loathing;
He missed the mediaeval grace
Of iron clothing.

Miniver scorned the gold he sought,
But sore annoyed he was without it;
Miniver thought and thought and thought
And thought about it.

Miniver Cheevy, born too late,
Scratched his head and kept on thinking;
Miniver coughed, and called it fate,
And kept on drinking."
56,James Jeffrey Roche,"Sailor's Yarn, A","
This is the tale that was told to me,
By a battered and shattered son of the sea,
To me and my messmate, Silas Green,
When I was a guileless young marine.

""'Twas the good ship Gyascutus,
All in the China seas,
With the wind a-lee and the capstan free
To catch the summer breeze.

""'Twas Captain Porgie on the deck,
To his mate in the mizzen hatch,
While the boatswain bold, in the forward hold,
Was winding the larboard watch.

""'Oh, how does our good ship head to-night!
How heads our gallant craft?'
'Oh, she heads to the E. S. W. by N.,
And the binnacle lies abaft!'

""'Oh, what does the quadrant indicate,
And how does the sextant stand?'
'Oh, the sextant's down to the freezing point,
And the quadrant's lost a hand!'

""'Oh, and if the quadrant has lost a hand,
And the sextant falls so low,
It's our bodies and bones to Davy Jones
This night are bound to go!

""'Oh, fly aloft to the garboard strake!
And reef the spanker boom;
Bend a studding sail on the martingale,
To give her weather room.

""'Oh, boatswain, down in the for'ard hold
What water do you find?'
'Four foot and a half by the royal gaff
And rather more behind!'

""'Oh, sailors, collar your marline spikes
And each belaying pin;
Come stir your stumps, and spike the pumps,
Or more will be coming in!'

""They stirred their stumps, they spiked the pumps,
They spliced the mizzen brace;
Aloft and alow they worked, but oh!
The water gained apace.

""They bored a hole above the keel
To let the water out;
But, strange to say, to their dismay,
The water in did spout.

""Then up spoke the Cook, of our gallant ship,
And he was a lubber brave:
'I have several wives in various ports,
And my life I'd orter save.'

""Then up spoke the Captain of Marines,
Who dearly loved his prog:
'It's awful to die, and it's worse to be dry,
And I move we pipe to grog.'

""Oh, then 'twas the noble second mate
What filled them all with awe;
The second mate, as bad men hate,
And cruel skipper's jaw.

""He took the anchor on his back,
And leaped into the main;
Through foam and spray he clove his way,
And sunk and rose again!

""Through foam and spray, a league away
The anchor stout he bore;
Till, safe at last, he made it fast
And warped the ship ashore!

""'Taint much of a job to talk about,
But a ticklish thing to see,
And suth'in to do, if I say it, too,
For that second mate was me!""

Such was the tale that was told to me
By that modest and truthful son of the sea,
And I envy the life of a second mate,
Though captains curse him and sailors hate,
For he ain't like some of the swabs I've seen,
As would go and lie to a poor marine."
57,James Jeffrey Roche,Lament Of The Scotch-Irish Exile,"
Oh, I want to win me hame
To my ain countrie,
The land frae whence I came
Far away across the sea;
Bit I canna find it there, on the atlas anywhere,
And I greet and wonder sair
Where the deil it can be?

I hae never met a man,
In a' the warld wide,
Who has trod my native lan'
Or its distant shores espied;
But they tell me there's a place where my hypothetic race
Its dim origin can trace,
Tipperary-on-the-Clyde.

But anither answers: ""Nae,
Ye are varra far frae richt;
Glasgow town in Dublin Bay
Is the spot we saw the licht.""
But I dinna find the maps bearing out these pawkie chaps,
And I sometimes think perhaps
It has vanished out o' sight.

Oh, I fain wad win me hame
To that undiscovered lan'
That has neither place nor name
Where the Scoto-Irishman
May behold the castles fair by his fathers builded there
Many, many ages ere
Ancient history began."
58,James Jeffrey Roche,Boston Lullaby,"
Baby's brain is tired of thinking
On the Wherefore and the Whence;
Baby's precious eyes are blinking
With incipient somnolence.

Little hands are weary turning
Heavy leaves of lexicon;
Little nose is fretted learning
How to keep its glasses on.

Baby knows the laws of nature
Are beneficent and wise;
His medulla oblongata
Bids my darling close his eyes.

And his pneumogastrics tell him
Quietude is always best
When his little cerebellum
Needs recuperative rest.

Baby must have relaxation,
Let the world go wrong or right.
Sleep, my darling, leave Creation
To its chances for the night."
59,James Jeffrey Roche,"V-A-S-E, The","
From the madding crowd they stand apart,
The maidens four and the Work of Art;

And none might tell from sight alone
In which had culture ripest grown,

The Gotham Million fair to see,
The Philadelphia Pedigree,

The Boston Mind of azure hue,
Or the soulful Soul from Kalamazoo,

For all loved Art in a seemly way,
With an earnest soul and a capital A.

*****

Long they worshiped; but no one broke
The sacred stillness, until up spoke

The Western one from the nameless place,
Who blushing said, ""What a lovely vace!""

Over three faces a sad smile flew,
And they edged away from Kalamazoo.

But Gotham's haughty soul was stirred
To crush the stranger with one small word.

Deftly hiding reproof in praise,
She cries, ""'Tis, indeed, a lovely vaze!""

But brief her unworthy triumph when
The lofty one from the house of Penn,

With the consciousness of two grandpapas,
Exclaims, ""It is quite a lovely vahs!""

And glances round with an anxious thrill,
Awaiting the word of Beacon Hill.

But the Boston maid smiles courteouslee,
And gently murmurs, ""Oh, pardon me!

""I did not catch your remark, because
I was so entranced with that lovely vaws!""

Dies erit praegelida
Sinistra quum Bostonia."
60,Rudyard Kipling,Commonplaces,"Rain on the face of the sea,
Rain on the sodden land,
And the window-pane is blurred with rain
As I watch it, pen in hand.

Mist on the face of the sea,
Mist on the sodden land,
Filling the vales as daylight fails,
And blotting the desolate sand.

Voices from out of the mist,
Calling to one another:
""Hath love an end, thou more than friend,
Thou dearer than ever brother?""

Voices from out of the mist,
Calling and passing away;
But I cannot speak, for my voice is weak,
And ... this is the end of my lay."
61,S. W. Gillinan,Finnigin To Flannigan,"
Superintendent wuz Flannigan;
Boss av the siction wuz Finnigin;
Whiniver the kyars got offen the thrack,
An' muddled up things t' th' divil an' back,
Finnigin writ it to Flannigan,
Afther the wrick wuz all on ag'in;
That is, this Finnigin
Repoorted to Flannigan.

Whin Finnigin furst writ to Flannigan,
He writed tin pages, did Finnigin,
An' he tould jist how the smash occurred;
Full minny a tajus, blunderin' wurrd
Did Finnigin write to Flannigan
Afther the cars had gone on ag'in.
That wuz how Finnigin
Repoorted to Flannigan.

Now Flannigan knowed more than Finnigin,
He'd more idjucation, had Flannigan;
An' it wore'm clane an' completely out
To tell what Finnigin writ about
In his writin' to Muster Flannigan.
So he writed back to Finnigin:
""Don't do sich a sin ag'in;
Make 'em brief, Finnigin!""

Whin Finnigin got this from Flannigan,
He blushed rosy rid, did Finnigin;
An' he said: ""I'll gamble a whole month's pa-ay
That it will be minny an' minny a da-ay
Befoore Sup'rintindint, that's Flannigan,
Gits a whack at this very same sin ag'in.
From Finnigin to Flannigan
Repoorts won't be long ag'in.""

*****

Wan da-ay, on the siction av Finnigin,
On the road sup'rintinded by Flannigan,
A rail give way on a bit av a curve,
An' some kyars went off as they made the swerve.
""There's nobody hurted,"" sez Finnigin,
""But repoorts must be made to Flannigan.""
An' he winked at McGorrigan,
As married a Finnigin.

He wuz shantyin' thin, wuz Finnigin,
As minny a railroader's been ag'in,
An' the shmoky ol' lamp wuz burnin' bright
In Finnigin's shanty all that night,
Bilin' down his repoort, was Finnigin!
An' he writed this here: ""Muster Flannigan:
Off ag'in, on ag'in,
Gone ag'in, Finnigin."""
62,Gilbert Keith Chesterton,"Ballade Of An Anti-Puritan, A","
They spoke of Progress spiring round,
Of Light and Mrs. Humphry Ward,
It is not true to say I frowned,
Or ran about the room and roared;
I might have simply sat and snored,
I rose politely in the club
And said, ""I feel a little bored;
Will someone take me to a pub?""

The new world's wisest did surround
Me; and it pains me to record
I did not think their views profound,
Or their conclusions well assured;
The simple life I can't afford,
Besides, I do not like the grub,
I want a mash and sausage, ""scored""
Will someone take me to a pub?

I know where Men can still be found,
Anger and clamorous accord,
And virtues growing from the ground,
And fellowship of beer and board,
And song, that is a sturdy cord,
And hope, that is a hardy shrub,
And goodness, that is God's last word,
Will someone take me to a pub?

ENVOI

Prince, Bayard would have smashed his sword
To see the sort of knights you dub,
Is that the last of them, O Lord!
Will someone take me to a pub?"
63,Gilbert Keith Chesterton,"Ballade Of Suicide, A","
The gallows in my garden, people say,
Is new and neat and adequately tall.
I tie the noose on in a knowing way
As one that knots his necktie for a ball;
But just as all the neighbours, on the wall,
Are drawing a long breath to shout ""Hurray!""
The strangest whim has seized me.... After all
I think I will not hang myself to-day.

To-morrow is the time I get my pay,
My uncle's sword is hanging in the hall,
I see a little cloud all pink and grey,
Perhaps the rector's mother will not call,
I fancy that I heard from Mr. Gall
That mushrooms could be cooked another way,
I never read the works of Juvenal,
I think I will not hang myself to-day.

The world will have another washing day;
The decadents decay; the pedants pall;
And H. G. Wells has found that children play,
And Bernard Shaw discovered that they squall;
Rationalists are growing rational,
And through thick woods one finds a stream astray,
So secret that the very sky seems small,
I think I will not hang myself to-day.

 Envoi

Prince, I can hear the trump of Germinal,
The tumbrils toiling up the terrible way;
Even to-day your royal head may fall,
I think I will not hang myself to-day."
64,Arthur Grissom,Ballade Of Forgotten Loves,"
Some poets sing of sweethearts dead,
Some sing of true loves far away;
Some sing of those that others wed,
And some of idols turned to clay.
I sing a pensive roundelay
To sweethearts of a doubtful lot,
The passions vanished in a day,
The little loves that I've forgot.

For, as the happy years have sped,
And golden dreams have changed to gray,
How oft the flame of love was fed
By glance, or smile, from Maud or May,
When wayward Cupid was at play;
Mere fancies, formed of who knows what,
But still my debt I ne'er can pay,
The little loves that I've forgot.

O joyous hours forever fled!
O sudden hopes that would not stay!
Held only by the slender thread
Of memory that's all astray.
Their very names I cannot say.
Time's will is done, I know them not;
But blessings on them all, I pray,
The little loves that I've forgot.

 envoi

Sweetheart, why foolish fears betray?
Ours is the one true lovers' knot;
Note well the burden of my lay,
The little loves that I've forgot."
65,Clinton Scollard,Ballade Of The Golfer In Love,"
In the ""foursome"" some would fain
Find nepenthe for their woe;
Following through shine or rain
Where the ""greens"" like satin show;
But I vote such sport as ""slow""
Find it rather glum and gruesome;
With a little maid I know
I would play a quiet ""twosome""!

In the ""threesome,"" some maintain,
Lies excitement's gayest glow,
Strife that mounts unto the brain
Like the sparkling Veuve Clicquot;
My opinion? Nay, not so!
Noon or eve or morning dewsome
With a little maid I know
I would play a quiet ""twosome""!

Bays of glory some would gain
With grim ""Bogey"" for their foe;
(He's a bogey who's not slain
Save one smite with canny blow!)
Yet I hold this tame, and though
My refrain seems trite, 'tis truesome;
With a little maid I know
I would play a quiet ""twosome""!

 envoy

Comrades all who golfing go,
Happiness, if you would view some,
With a little maid you know,
Haste and play a quiet ""twosome""!"
66,H. E. Clarke,Lady Mine,"
Lady mine, most fair thou art
With youth's gold and white and red;
'Tis a pity that thy heart
Is so much harder than thy head.

This has stayed my kisses oft,
This from all thy charms debarr'd,
That thy head is strangely soft,
While thy heart is strangely hard.

Nothing had kept us apart,
I had loved thee, I had wed,
Hadst thou had a softer heart
Or a harder head.

But I think I'll bear Love's smart
Till the wound has healed and fled,
Or thy head is like thy heart,
Or thy heart is like thy head."
67,John Vance Cheney,"Kitchen Clock, The","
Knitting is the maid o' the kitchen, Milly,
Doing nothing sits the chore boy, Billy:
""Seconds reckoned,
Seconds reckoned;
Every minute,
Sixty in it.
Milly, Billy,
Billy, Milly,
Tick-tock, tock-tick,
Nick-knock, knock-nick,
Knockety-nick, nickety-knock,""
Goes the kitchen clock.

Closer to the fire is rosy Milly,
Every whit as close and cosy, Billy:
""Time's a-flying,
Worth your trying;
Pretty Milly,
Kiss her, Billy!
Milly, Billy,
Billy, Milly,
Tick-tock, tock-tick,
Now, now, quick, quick!
Knockety-nick, nickety-knock,""
Goes the kitchen clock.

Something's happened, very red is Milly,
Billy boy is looking very silly;
""Pretty misses,
Plenty kisses;
Make it twenty,
Take a plenty.
Billy, Milly,
Milly, Billy,
Right, left, left, right,
That's right, all right,
Knockety-nick, nickety-knock,""
Goes the kitchen clock.

Weeks gone, still they're sitting, Milly, Billy;
O, the winter winds are wondrous chilly!
""Winter weather,
Close together;
Wouldn't tarry,
Better marry.
Milly, Billy,
Billy, Milly,
Two, one, one, two,
Don't wait, 'twon't do,
Knockety-nick, nickety-knock,""
Goes the kitchen clock.

Winters two have gone, and where is Milly?
Spring has come again, and where is Billy?
""Give me credit,
For I did it;
Treat me kindly,
Mind you wind me.
Mister Billy,
Mistress Milly,
My, O, O, my,
By-by, by-by,
Nickety-knock, cradle rock,""
Goes the kitchen clock."
68,James Hogg,Love Is Like A Dizziness,"
I lately lived in quiet case,
An' ne'er wish'd to marry, O!
But when I saw my Peggy's face,
I felt a sad quandary, O!
Though wild as ony Athol deer,
She has trepann'd me fairly, O!
Her cherry cheeks an' een sae clear
Torment me late an' early O!
O, love, love, love!
Love is like a dizziness;
It winna let a poor body
Gang about his biziness!

To tell my feats this single week
Wad mak a daft-like diary, O!
I drave my cart out ow'r a dike,
My horses in a miry, O!
I wear my stockings white an' blue,
My love's sae fierce an' fiery, O!
I drill the land that I should pleugh,
An' pleugh the drills entirely, O!
O, love, love, love! etc.

Ae morning, by the dawn o' day,
I rase to theek the stable, O!
I keust my coat, and plied away
As fast as I was able, O!
I wrought that morning out an' out,
As I'd been redding fire, O!
When I had done an look'd about,
Gudefaith, it was the byre, O!
O, love, love, love! etc.

Her wily glance I'll ne'er forget,
The dear, the lovely blinkin o't
Has pierced me through an' through the heart,
An' plagues me wi' the prinking o't.
I tried to sing, I tried to pray,
I tried to drown't wi' drinkin' o't,
I tried with sport to drive't away,
But ne'er can sleep for thinkin' o't.
O, love, love, love! etc.

Nae man can tell what pains I prove,
Or how severe my pliskie, O!
I swear I'm sairer drunk wi' love
Than ever I was wi' whiskey, O!
For love has raked me fore an' aft,
I scarce can lift a leggie, O!
I first grew dizzy, then gaed daft,
An' soon I'll dee for Peggy, O!
O, love, love, love!
Love is like a dizziness;
It winna let a poor body
Gang about his biziness!"
69,Sir John Suckling,"Wedding, A","I tell thee, Dick, where I have been;
Where I the rarest things have seen;
Oh, things without compare!
Such sights again can not be found
In any place on English ground,
Be it at wake or fair.

At Charing Cross, hard by the way
Where we (thou know'st) do sell our hay,
There is a house with stairs;
And there did I see coming down
Such folks as are not in our town;
Vorty at least, in pairs.

Amongst the rest one pest'lent fine
(His beard no bigger tho' than thine)
Walk'd on before the rest;
Our landlord looks like nothing to him;
The King (God bless him!) 'twould undo him
Should he go still so drest.

At Course-a-park, without all doubt,
He should have first been taken out
By all the maids i' th' town:
Though lusty Roger there had been,
Or little George upon the green,
Or Vincent of the crown.

But wot you what? The youth was going
To make an end of all his woing;
The parson for him staid:
Yet by his leave, for all his haste,
He did not so much wish all past,
Perchance as did the maid.

The maid (and thereby hangs a tale)
For such a maid no Whitson-ale
Could ever yet produce;
No grape that's kindly ripe, could be
So round, so plump, so soft, as she
Nor half so full of juyce.

Her finger was so small, the ring
Would not stay on which they did bring;
It was too wide a peck:
And, to say truth (for out it must),
It look'd like the great collar (just)
About our young colt's neck.

Her feet beneath her petticoat,
Like little mice, stole in and out,
As if they fear'd the light:
But oh! she dances such a way;
No sun upon an Easter day
Is half so fine a sight.

Her cheeks so rare a white was on,
No daisie makes comparison
(Who sees them is undone);
For streaks of red were mingled there,
Such as are on a Cath'rine pear,
The side that's next the Sun.

Her lips were red; and one was thin,
Compared to that was next her chin
(Some bee had stung it newly);
But, Dick, her eyes so guard her face,
I durst no more upon them gaze,
Than on a Sun in July.

Her mouth so small, when she does speak,
Thou'dst swear her teeth her words did break,
That they might passage get;
But she so handled still the matter,
They came as good as ours, or better,
And are not spent a whit.

Passion, oh me! how I run on!
There's that that would be thought upon,
I trow, besides the bride.
The business of the kitchen's great;
For it is fit that men should eat,
Nor was it there denied.

Just in the nick the Cook knock'd thrice,
And all the waiters in a trice
His summons did obey;
Each serving man, with dish in hand,
March'd boldly up like our train'd band,
Presented, and away.

When all the meat was on the table,
What man of knife, or teeth, was able
To stay to be entreated?
And this the very reason was,
Before the parson could say grace
The company was seated.

Now hats fly off, and youths carouse;
Healths first go round, and then the house,
The bride's came thick and thick;
And when 'twas named another's health,
Perhaps he made it hers by stealth,
(And who could help it, Dick?)

O' th' sudden, up they rise and dance;
Then sit again, and sigh, and glance:
Then dance again, and kiss:
Thus sev'ral ways the time did pass,
Till ev'ry woman wish'd her place,
And ev'ry man wish'd his.

By this time all were stol'n aside
To counsel and undress the bride;
But that he must not know:
But yet 'twas thought he guest her mind,
And did not mean to stay behind
Above an hour or so."
70,Sir John Suckling,Out Upon It,"Out upon it, I have loved
Three whole days together;
And am like to love three more,
If it prove fair weather.

Time shall moult away his wings,
Ere he shall discover
In the whole wide world again
Such a constant Lover.

But the spite on't is, no praise
Is due at all to me:
Love with me had made no stays,
Had it any been but she.

Had it any been but she,
And that very face,
There had been at least ere this
A dozen dozen in her place."
71,Unknown,"Clown's Courtship, The","Quoth John to Joan, will thou have me;
I prithee now, wilt? and I'll marry thee,
My cow, my calf, my house, my rents,
And all my lands and tenements:
Oh, say, my Joan, will not that do?
I cannot come every day to woo.

I've corn and hay in the barn hardby,
And three fat hogs pent up in the sty,
I have a mare and she is coal black,
I ride on her tail to save my back.
Then say, etc.

I have a cheese upon the shelf,
And I cannot eat it all myself;
I've three good marks that lie in a rag,
In a nook of the chimney, instead of a bag.
Then say, etc.

To marry I would have thy consent,
But faith I never could compliment;
I can say nought but ""Hoy, gee ho!""
Words that belong to the cart and the plough.
So say, my Joan, will not that do,
I cannot come every day to woo."
72,James Tytler,I Hae Laid A Herring In Saut,"
I hae laid a herring in saut,
Lass, gin ye lo'e me, tell me now;
I hae brew'd a forpit o' maut,
And I canna come ilka day to woo:

I hae a calf that will soon be a cow,
Lass, gin ye lo'e me, tell me now;
I hae a stook, and I'll soon hae a mowe,
And I canna come ilka day to woo:

I hae a house upon yon moor,
Lass, gin ye lo'e me, tell me now;
Three sparrows may dance upon the floor,
And I canna come ilka day to woo:

I hae a but, and I hae a ben,
Lass, gin ye lo'e me, tell me now;
A penny to keep, and a penny to spen',
And I canna come ilka day to woo:

I hae a hen wi' a happitie leg,
Lass, gin ye lo'e me, tell me now;
That ilka day lays me an egg,
And I canna come ilka day to woo:

I hae a cheese upon my skelf,
Lass, gin ye lo'e me, tell me now;
And soon wi' mites 'twill rin itself,
And I canna come ilka day to woo."
73,Father Prout,"Sabine Farmer's Serenade, The"," I

'Twas on a windy night,
At two o'clock in the morning,
An Irish lad so tight,
All wind and weather scorning,
At Judy Callaghan's door.
Sitting upon the palings,
His love-tale he did pour,
And this was part of his wailings:-
Only say
You'll be Mrs. Brallaghan;
Don't say nay,
Charming Judy Callaghan.

 II

Oh! list to what I say,
Charms you've got like Venus;
Own your love you may,
There's but the wall between us.
You lie fast asleep
Snug in bed and snoring;
Round the house I creep,
Your hard heart imploring.
Only say
You'll have Mr. Brallaghan;
Don't say nay,
Charming Judy Callaghan.

III

I've got a pig and a sow,
I've got a sty to sleep 'em
A calf and a brindled cow,
And a cabin too, to keep 'em;
Sunday hat and coat,
An old grey mare to ride on,
Saddle and bridle to boot,
Which you may ride astride on.
Only say
You'll be Mrs. Brallaghan;
Don't say nay,
Charming Judy Callaghan.

 IV

I've got an acre of ground,
I've got it set with praties;
I've got of 'baccy a pound,
I've got some tea for the ladies;
I've got the ring to wed,
Some whisky to make us gaily;
I've got a feather bed
And a handsome new shillelagh.
Only say
You'll have Mr. Brallaghan;
Don't say nay,
Charming Judy Callaghan.

 V

You've got a charming eye,
You've got some spelling and reading
You've got, and so have I,
A taste for genteel breeding;
You're rich, and fair, and young,
As everybody's knowing;
You've got a decent tongue
Whene'er 'tis set a-going.
Only say
You'll be Mrs. Brallaghan;
Don't say nay,
Charming Judy Callaghan.

 VI

For a wife till death
I am willing to take ye;
But, och! I waste my breath,
The devil himself can't wake ye.
'Tis just beginning to rain,
So I'll get under cover;
To-morrow I'll come again,
And be your constant lover.
Only say
You'll be Mrs. Brallaghan;
Don't say nay,
Charming Judy Callaghan."
